host_response_time,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_score_mean,review_tier
within a few hours,True,True,Jerónimos,Private room in rental unit,Private room,1,2.0,1.0,1.0,38.0,1,1125,1.0,1125.0,1,4,8,240,51,5,4.9,4.78,4.95,4.94,4.92,4.86,4.891666666666667,Excelente (>4.8)
within a few hours,True,True,Cortes,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,54.0,2,366,31.0,366.0,18,30,44,370,22,1,4.52,4.67,4.77,4.83,4.86,4.44,4.681666666666667,Alta (4.5–4.8]
within a day,True,False,Justicia,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,100.0,7,90,7.0,1125.0,2,14,22,282,21,1,4.94,4.96,4.95,4.91,4.89,4.89,4.923333333333334,Excelente (>4.8)
within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,4,2.0,2.0,4.0,150.0,1,730,5.5,730.0,0,0,0,92,7,0,4.78,4.83,4.78,4.75,4.93,4.67,4.79,Alta (4.5–4.8]
within a few hours,True,True,Universidad,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,68.0,2,360,30.3,360.0,1,2,2,314,28,1,4.6,4.71,4.85,4.82,4.83,4.55,4.726666666666666,Alta (4.5–4.8]
within an hour,True,True,Timón,Entire rental unit,Entire home/apt,8,2.5,4.0,7.0,148.0,2,1125,3.6,1125.0,4,13,36,310,39,1,4.92,4.92,4.96,4.99,4.82,4.86,4.911666666666666,Excelente (>4.8)
within a few hours,True,True,Numancia,Private room in rental unit,Private room,2,1.5,1.0,2.0,42.0,2,6,2.0,6.0,23,53,83,198,15,0,4.82,4.92,4.9,4.81,4.65,4.71,4.801666666666667,Excelente (>4.8)
within an hour,True,True,Sol,Entire loft,Entire home/apt,2,1.0,1.0,1.0,106.0,1,1125,1.0,1082.9,1,5,12,457,69,5,4.57,4.65,4.71,4.75,4.95,4.57,4.7,Alta (4.5–4.8]
within a few hours,True,True,Pacífico,Private room in rental unit,Private room,2,2.0,1.0,2.0,38.0,1,1125,1.0,1125.0,1,1,1,932,142,9,4.86,4.73,4.91,4.91,4.88,4.8,4.848333333333334,Excelente (>4.8)
within a few hours,True,True,Pacífico,Private room in rental unit,Private room,1,2.0,1.0,1.0,25.0,1,1125,1.0,1125.0,0,0,0,216,0,0,4.78,4.5,4.87,4.9,4.85,4.7,4.7666666666666675,Alta (4.5–4.8]
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,97.0,90,300,90.0,300.0,0,0,0,40,1,0,4.59,4.59,4.74,4.87,4.82,4.54,4.691666666666666,Alta (4.5–4.8]
within an hour,True,True,Marroquina,Entire rental unit,Entire home/apt,8,2.0,4.0,5.0,249.0,3,365,3.0,365.0,15,23,40,229,33,0,4.94,4.93,4.89,4.9,4.72,4.88,4.876666666666667,Excelente (>4.8)
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,8,2.5,3.0,3.0,295.0,2,1125,1.8,1069.5,0,0,2,119,25,0,4.68,4.73,4.76,4.85,4.94,4.66,4.7700000000000005,Alta (4.5–4.8]
a few days or more,True,True,Palos de Moguer,Private room in rental unit,Private room,1,1.0,1.0,1.0,46.0,2,6,2.0,6.0,12,31,59,125,0,0,4.97,4.99,4.95,4.98,4.88,4.93,4.95,Excelente (>4.8)
within a few hours,True,True,Embajadores,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,93.0,2,180,2.0,180.0,3,11,18,592,66,4,4.72,4.76,4.87,4.92,4.81,4.7,4.796666666666667,Alta (4.5–4.8]
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,193.0,2,7,2.0,1125.0,12,26,27,188,23,0,4.86,4.77,4.89,4.83,4.98,4.72,4.841666666666667,Excelente (>4.8)
within a few hours,True,True,Goya,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,83.0,5,10,5.0,10.0,1,1,1,4,1,0,5.0,5.0,5.0,5.0,5.0,4.75,4.958333333333333,Excelente (>4.8)
